nr,name,studierende_fh
10045,Saarpfalz-Kreis,0
10046,St. Wendel,0
11000,"Berlin, Stadt",16.1
12051,"Brandenburg an der Havel, Stadt",36.7
12052,"Cottbus, Stadt",0
12053,"Frankfurt (Oder), Stadt",0
12054,"Potsdam, Stadt",22.1
12060,Barnim,11.9
12061,Dahme-Spreewald,21.4
12062,Elbe-Elster,0
12063,Havelland,0.5
12064,Märkisch-Oderland,0
12065,Oberhavel,0
12066,Oberspreewald-Lausitz,0
12067,Oder-Spree,0
12068,Ostprignitz-Ruppin,0
12069,Potsdam-Mittelmark,0
12070,Prignitz,0
12071,Spree-Neiße,0
12072,Teltow-Fläming,0
12073,Uckermark,0
13003,"Rostock, Stadt",3
13004,"Schwerin, Stadt",7.7
13071,Mecklenburgische Seenplatte,8.3
13072,Landkreis Rostock,0
13073,Vorpommern-Rügen,9.6
13074,Nordwestmecklenburg,53.5
13075,Vorpommern-Greifswald,0
13076,Ludwigslust-Parchim,0
14511,"Chemnitz, Stadt",0
14521,Erzgebirgskreis,0.5
14522,Mittelsachsen,23
14523,Vogtlandkreis,0
14524,Zwickau,12.5
14612,"Dresden, Stadt",11.4
14625,Bautzen,0
14626,Görlitz,11.8
14627,Meißen,0.5
14628,Sächsische Schweiz-Osterzgebirge,0
14713,"Leipzig, Stadt",13.6
14729,Leipzig,0
14730,Nordsachsen,0
15001,"Dessau-Roßlau, Stadt",15.1
15002,"Halle (Saale), Stadt",0
15003,"Magdeburg, Stadt",16.9
15081,Altmarkkreis Salzwedel,0
15082,Anhalt-Bitterfeld,14.9
15083,Börde,0
15084,Burgenlandkreis,0
15085,Harz,14.1
15086,Jerichower Land,0
15087,Mansfeld-Südharz,0
15088,Saalekreis,15.3
15089,Salzlandkreis,17.3
15090,Stendal,16.3
15091,Wittenberg,0
16051,"Erfurt, Stadt",19.1
16052,"Gera, Stadt",19.3
16053,"Jena, Stadt",40.5
16054,"Suhl, Stadt",0
16055,"Weimar, Stadt",0
16056,"Eisenach, Stadt",13.1
16061,Eichsfeld,0
16062,Nordhausen,28.5
16063,Wartburgkreis,0
16064,Unstrut-Hainich-Kreis,0
16065,Kyffhäuserkreis,0
16066,Schmalkalden-Meiningen,20.8
16067,Gotha,0
16068,Sömmerda,0
16069,Hildburghausen,0
16070,Ilm-Kreis,0
16071,Weimarer Land,0
16072,Sonneberg,0
16073,Saalfeld-Rudolstadt,0
16074,Saale-Holzland-Kreis,0
16075,Saale-Orla-Kreis,0
16076,Greiz,0
16077,Altenburger Land,0
